kanji,strokes,grade,freq,jlpt,meanings,readings_on,readings_kun
道,12,2,207,4,"Road-way, Street, District, Journey, Course, Moral, Teachings","どう, とう","みち, いう"
間,12,2,33,5,"Interval, Space","かん, けん","あいだ, ま, あい"
雲,12,2,1256,2,Cloud,うん,"くも, -ぐも"
数,13,2,148,3,"Number, Strength, Fate, Law, Figures","すう, す, さく, そく, しゅ","かず, かぞ.える, しばしば, せ.める, わずらわ.しい"
楽,13,2,373,4,"Music, Comfort, Ease","がく, らく, ごう","たの.しい, たの.しむ, この.む"
話,13,2,134,5,"Tale, Talk",わ,"はな.す, はなし"
電,13,2,268,5,Electricity,でん,
所,8,3,221,3,"Place, Extent",しょ,"ところ, -ところ, どころ, とこ"
事,8,3,18,4,"Matter, Thing, Fact, Business, Reason, Possibly","じ, ず","こと, つか.う, つか.える"
使,8,3,219,4,"Use, Send On A Mission, Order, Messenger, Envoy, Ambassador, Cause",し,"つか.う, つか.い, -つか.い, -づか.い"
具,8,3,629,3,"Tool, Utensil, Means, Possess, Ingredients, Counter For Armor, Suits, Sets Of Furniture",ぐ,"そな.える, つぶさ.に"
受,8,3,136,3,"Accept, Undergo, Answer (phone), Take, Get, Catch, Receive",じゅ,"う.ける, -う.け, う.かる"
和,8,3,124,3,"Harmony, Japanese Style, Peace, Soften, Japan","わ, お, か","やわ.らぐ, やわ.らげる, なご.む, なご.やか, あ.える"
始,8,3,244,4,"Commence, Begin",し,"はじ.める, -はじ.める, はじ.まる"
定,8,3,48,3,"Determine, Fix, Establish, Decide","てい, じょう","さだ.める, さだ.まる, さだ.か"
実,8,3,68,3,"Reality, Truth","じつ, しつ","み, みの.る, まこと, みの, みち.る"
服,8,3,873,4,"Clothing, Admit, Obey, Discharge",ふく,
泳,8,3,1223,3,Swim,えい,およ.ぐ
物,8,3,215,4,"Thing, Object, Matter","ぶつ, もつ","もの, もの-"
苦,8,3,623,3,"Suffering, Trial, Worry, Hardship, Feel Bitter, Scowl",く,"くる.しい, -ぐる.しい, くる.しむ, くる.しめる, にが.い, にが.る"
表,8,3,77,3,"Surface, Table, Chart, Diagram",ひょう,"おもて, -おもて, あらわ.す, あらわ.れる, あら.わす"
部,11,3,36,3,"Section, Bureau, Dept, Class, Copy, Part, Portion, Counter For Copies Of A Newspaper Or Magazine",ぶ,-べ
乗,9,3,377,3,"Ride, Power, Multiplication, Record, Counter For Vehicles, Board, Mount, Join","じょう, しょう","の.る, -の.り, の.せる"
客,9,3,557,3,"Guest, Visitor, Customer, Client","きゃく, かく",
屋,9,3,616,4,"Roof, House, Shop, Dealer, Seller",おく,や
度,9,3,110,4,"Degrees, Occurrence, Time, Counter For Occurrences, Consider, Attitude","ど, と, たく","たび, -た.い"
待,9,3,391,4,"Wait, Depend On",たい,"ま.つ, -ま.ち"
持,9,3,119,4,"Hold, Have",じ,"も.つ, -も.ち, も.てる"
界,9,3,158,4,"World, Boundary",かい,
